geo_hash, rel_nfnv_prod_count,fnv_prod_count,prod_count,stores_count,sub_cat_count
tdr0gyy,248,137,3151,1,206
tdr0gyz,248,137,3151,1,206
tdr0gz7,248,137,3151,1,206
tdr0gz9,248,137,3151,1,206
tdr0gzb,248,137,3151,1,206
tdr0gzc,248,137,3151,1,206
tdr0gzd,248,137,3151,1,206
tdr0gze,248,137,3151,1,206
tdr0gzf,248,137,3151,1,206
tdr0gzg,248,137,3151,1,206
tdr0gzh,248,137,3151,1,206
tdr0gzj,248,137,3151,1,206
tdr0gzk,248,137,3151,1,206
tdr0gzm,248,137,3151,1,206
tdr0gzn,248,137,3151,1,206
tdr0gzp,248,137,3151,1,206
tdr0gzq,248,137,3151,1,206
tdr0gzr,248,137,3151,1,206
tdr0gzs,248,137,3151,1,206
tdr0gzt,248,137,3151,1,206
tdr0gzu,248,137,3151,1,206
tdr0gzv,248,137,3151,1,206
tdr0gzw,248,137,3151,1,206
tdr0gzx,248,137,3151,1,206
tdr0gzy,248,137,3151,1,206
tdr0gzz,248,137,3151,1,206
tdr0umg,248,137,3151,1,206
tdr0umu,248,137,3151,1,206
tdr0umv,248,137,3151,1,206
tdr0umy,248,137,3151,1,206
tdr0umz,248,137,3151,1,206
tdr0un7,248,137,3151,1,206
tdr0un8,248,137,3151,1,206
tdr0un9,248,137,3151,1,206
tdr0unb,248,137,3151,1,206
tdr0unc,248,137,3151,1,206
tdr0und,248,137,3151,1,206
tdr0une,248,137,3151,1,206
tdr0unf,248,137,3151,1,206
tdr0ung,248,137,3151,1,206
tdr0unk,248,137,3151,1,206
tdr0unm,248,137,3151,1,206
tdr0unn,248,137,3151,1,206
tdr0unp,248,137,3151,1,206
tdr0unq,248,137,3151,1,206
tdr0unr,248,137,3151,1,206
tdr0uns,248,137,3151,1,206
tdr0unt,248,137,3151,1,206
tdr0unu,248,137,3151,1,206
tdr0unv,248,137,3151,1,206
tdr0unw,248,137,3151,1,206
tdr0unx,248,137,3151,1,206
tdr0uny,248,137,3151,1,206
tdr0unz,248,137,3151,1,206
tdr0up0,248,137,3151,1,206
tdr0up1,248,137,3151,1,206
tdr0up2,248,137,3151,1,206
tdr0up3,248,137,3151,1,206
tdr0up4,248,137,3151,1,206
tdr0up5,248,137,3151,1,206
tdr0up6,248,137,3151,1,206
tdr0up7,248,137,3151,1,206
tdr0up8,248,137,3151,1,206
tdr0up9,248,137,3151,1,206
tdr0upb,248,137,3151,1,206
tdr0upc,248,137,3151,1,206
tdr0upd,248,137,3151,1,206
tdr0upe,248,137,3151,1,206
tdr0upf,248,137,3151,1,206
tdr0upg,248,137,3151,1,206
tdr0uph,248,137,3151,1,206
tdr0upj,248,137,3151,1,206
tdr0upk,248,137,3151,1,206
tdr0upm,248,137,3151,1,206
tdr0upn,248,137,3151,1,206
tdr0upp,248,137,3151,1,206
tdr0upq,248,137,3151,1,206
tdr0upr,248,137,3151,1,206
tdr0ups,248,137,3151,1,206
tdr0upt,248,137,3151,1,206
tdr0upu,248,137,3151,1,206
tdr0upv,248,137,3151,1,206
tdr0upw,248,137,3151,1,206
tdr0upx,248,137,3151,1,206
tdr0upy,248,137,3151,1,206
tdr0upz,248,137,3151,1,206
tdr0uq0,248,137,3151,1,206
tdr0uq1,248,137,3151,1,206
tdr0uq2,248,137,3151,1,206
tdr0uq3,248,137,3151,1,206
tdr0uq4,248,137,3151,1,206
tdr0uq5,248,137,3151,1,206
tdr0uq6,248,137,3151,1,206
tdr0uq7,248,137,3151,1,206
tdr0uq8,248,137,3151,1,206
tdr0uq9,248,137,3151,1,206
tdr0uqb,248,137,3151,1,206
tdr0uqc,248,137,3151,1,206
tdr0uqd,248,137,3151,1,206
tdr0uqe,248,137,3151,1,206
tdr0uqf,248,137,3151,1,206
tdr0uqg,248,137,3151,1,206
tdr0uqh,248,137,3151,1,206
tdr0uqj,248,137,3151,1,206
tdr0uqk,248,137,3151,1,206
tdr0uqm,248,137,3151,1,206
tdr0uqn,248,137,3151,1,206
tdr0uqp,248,137,3151,1,206
tdr0uqq,248,137,3151,1,206
